service,link
Ιστοσελίδα Τμήματος Πληροφορικής,http://www.cs.ihu.gr
Εγγραφή στο uregister,https://uregister.emt.ihu.gr/
Ξέχασα τον κωδικό μου,https://mypassword.emt.ihu.gr/
Ηλεκτρονική Γραμματεία,https://uniportal.ihu.gr/
Αίτηση απόκτησης ακαδημαϊκής ταυτότητας,https://academicid.minedu.gov.gr/
Υπηρεσία δήλωσης συγγραμάτων,https://eudoxus.gr/
Ανοικτά μαθήματα (open courses),https://opencourses.gr/
Πλατφόρμα ασύγχρονης εκπαίδευσης,https://moodle.cs.ihu.gr
Διαχείριση ομάδων μαθημάτων,https://courses.cs.ihu.gr/
Φοιτητική μέριμνα,http://www.teikav.edu.gr/portal/index.php/el/home/students/student-care